name,cx,cy,canopy_2022,canopy_2019,income_weekly,peak_temp,polygon
"Sydney CBD",578.4,311.1,20,19.0,1900,36.6,"[[563.4,299.3],[590.9,299.3],[590.9,313.1],[582.3,313.1],[579.5,321.0],[563.4,321.0]]"
"Surry Hills",576.1,332.8,14,13.3,1850,38.2,"[[563.4,321.0],[582.3,321.0],[589.0,334.8],[582.3,346.6],[563.4,340.7]]"
"Darlinghurst",590.4,317.1,13,12.3,1950,38.5,"[[582.3,313.1],[598.5,313.1],[598.5,321.0],[582.3,321.0]]"
"Potts Point",595.6,310.1,12,11.4,2100,38.8,"[[590.9,313.1],[590.9,307.2],[600.4,307.2],[600.4,313.1]]"
"Newtown",545.3,346.6,14,13.3,1750,38.2,"[[536.7,337.7],[555.7,337.7],[555.7,351.5],[546.3,356.4],[532.0,349.5]]"
"Glebe",556.2,329.4,15,14.2,1780,38.0,"[[549.1,321.0],[563.4,321.0],[563.4,337.7],[549.1,337.7]]"
"Pyrmont",561.0,315.6,12,11.4,1950,38.8,"[[555.7,310.2],[566.2,310.2],[566.2,321.0],[555.7,321.0]]"
"Ultimo",564.5,324.9,12,11.4,1900,38.8,"[[563.4,321.0],[570.0,324.9],[566.2,328.9],[558.6,324.9]]"
"Redfern",572.1,342.1,11,10.4,1700,39.0,"[[563.4,337.7],[579.5,337.7],[582.3,346.6],[563.4,346.6]]"
"Waterloo",572.8,351.5,11,10.4,1650,39.0,"[[563.4,346.6],[582.3,346.6],[582.3,356.4],[563.4,356.4]]"
"Zetland",572.8,360.4,11,10.4,1700,39.0,"[[563.4,356.4],[582.3,356.4],[582.3,364.3],[563.4,364.3]]"
"Alexandria",554.8,362.8,12,11.4,1650,38.8,"[[546.3,356.4],[563.4,356.4],[563.4,369.2],[546.3,369.2]]"
"Erskineville",554.8,351.5,13,12.3,1700,38.5,"[[546.3,346.6],[563.4,346.6],[563.4,356.4],[546.3,356.4]]"
"Chippendale",569.1,333.3,12,11.4,1800,38.8,"[[563.4,328.9],[574.8,328.9],[574.8,337.7],[563.4,337.7]]"
"Marrickville",534.4,360.4,16,15.2,1600,37.7,"[[522.5,351.5],[546.3,351.5],[546.3,369.2],[522.5,369.2]]"
"Dulwich Hill",518.9,344.6,17,16.1,1580,37.4,"[[508.2,337.7],[527.2,337.7],[527.2,351.5],[513.0,351.5]]"
"Petersham",533.4,344.1,16,15.2,1620,37.7,"[[527.2,337.7],[539.6,337.7],[539.6,349.5],[527.2,351.5]]"
"Stanmore",533.4,333.3,16,15.2,1650,37.7,"[[527.2,328.9],[539.6,328.9],[539.6,337.7],[527.2,337.7]]"
"Leichhardt",536.8,329.4,15,14.2,1700,38.0,"[[527.2,321.0],[546.3,321.0],[546.3,337.7],[527.2,337.7]]"
"Balmain",544.5,310.2,18,17.1,1950,37.1,"[[539.6,299.3],[560.5,299.3],[563.4,313.1],[549.1,321.0],[527.2,321.0],[527.2,307.2]]"
"Rozelle",547.7,314.1,16,15.2,1850,37.7,"[[539.6,307.2],[555.7,307.2],[555.7,321.0],[539.6,321.0]]"
"Annandale",544.4,331.3,17,16.1,1800,37.4,"[[539.6,324.9],[549.1,324.9],[549.1,337.7],[539.6,337.7]]"
"St Peters",540.3,369.2,13,12.3,1600,38.5,"[[536.7,364.3],[546.3,364.3],[546.3,374.2],[532.0,374.2]]"
"Tempe",533.4,369.2,14,13.3,1580,38.2,"[[527.2,364.3],[539.6,364.3],[539.6,374.2],[527.2,374.2]]"
"Strathfield",468.8,315.1,17,16.1,1750,37.4,"[[457.9,307.2],[479.7,307.2],[479.7,323.0],[457.9,323.0]]"
"Burwood",479.8,328.9,15,14.2,1700,38.0,"[[470.2,323.0],[489.3,323.0],[489.3,334.8],[470.2,334.8]]"
"Concord",468.8,300.3,22,20.9,1900,36.1,"[[457.9,293.4],[479.7,293.4],[479.7,307.2],[457.9,307.2]]"
"Homebush",448.9,306.7,16,15.2,1680,37.7,"[[439.8,300.3],[457.9,300.3],[457.9,313.1],[439.8,313.1]]"
"Bondi",633.2,336.8,14,13.3,2100,38.2,"[[622.2,328.9],[644.1,328.9],[644.1,344.6],[622.2,344.6]]"
"Bondi Junction",614.2,335.3,13,12.3,2050,38.5,"[[606.1,328.9],[622.2,328.9],[622.2,341.7],[606.1,341.7]]"
"Paddington",599.5,327.9,18,17.1,2200,37.1,"[[590.9,321.0],[608.0,321.0],[608.0,334.8],[590.9,334.8]]"
"Woollahra",616.5,327.9,22,20.9,2800,36.1,"[[608.0,321.0],[625.1,321.0],[625.1,334.8],[608.0,334.8]]"
"Double Bay",616.5,317.1,22,20.9,3200,36.1,"[[608.0,313.1],[625.1,313.1],[625.1,321.0],[608.0,321.0]]"
"Edgecliff",606.6,312.1,20,19.0,2400,36.6,"[[600.4,307.2],[612.8,307.2],[612.8,317.0],[600.4,317.0]]"
"Rose Bay",634.6,313.6,25,23.8,2900,35.2,"[[625.1,307.2],[644.1,307.2],[644.1,320.0],[625.1,320.0]]"
"Vaucluse",644.1,301.8,30,28.5,3500,33.9,"[[625.1,290.5],[663.1,290.5],[663.1,313.1],[625.1,313.1]]"
"Watsons Bay",667.4,295.4,28,26.6,3200,34.4,"[[660.2,290.5],[674.5,290.5],[674.5,300.3],[660.2,300.3]]"
"Randwick",605.6,357.9,16,15.2,1900,37.7,"[[593.7,349.5],[617.5,349.5],[617.5,366.3],[593.7,366.3]]"
"Coogee",626.0,365.8,15,14.2,1950,38.0,"[[617.5,359.4],[634.6,359.4],[634.6,372.2],[617.5,372.2]]"
"Clovelly",626.0,354.4,16,15.2,2000,37.7,"[[617.5,349.5],[634.6,349.5],[634.6,359.4],[617.5,359.4]]"
"Maroubra",615.1,384.0,14,13.3,1750,38.2,"[[603.3,374.2],[627.0,374.2],[627.0,393.8],[603.3,393.8]]"
